year,month,admin_name,fews_net,country,date,timestamp
2019,5,Addis Adaba,1,Ethiopia,2019-05-01,1556668800
2019,5,Awi/Agew,1,Ethiopia,2019-05-01,1556668800
2019,5,North Gonder,1,Ethiopia,2019-05-01,1556668800
2019,5,South Wollo,2,Ethiopia,2019-05-01,1556668800
2019,5,Special Woreda,1,Ethiopia,2019-05-01,1556668800
2019,5,Kemashi,1,Ethiopia,2019-05-01,1556668800
2019,5,Agnuak,1,Ethiopia,2019-05-01,1556668800
2019,5,Majang,1,Ethiopia,2019-05-01,1556668800
2019,5,Nuer,1,Ethiopia,2019-05-01,1556668800
2019,5,Arsi,1,Ethiopia,2019-05-01,1556668800
2019,5,Bale.1,2,Ethiopia,2019-05-01,1556668800
2019,5,East Shewa,2,Ethiopia,2019-05-01,1556668800
2019,5,East Wellega,1,Ethiopia,2019-05-01,1556668800
2019,5,Horo Guduru,1,Ethiopia,2019-05-01,1556668800
2019,5,Ilubabor,1,Ethiopia,2019-05-01,1556668800
2019,5,Kelem Wellega,1,Ethiopia,2019-05-01,1556668800
2019,5,West Arsi,2,Ethiopia,2019-05-01,1556668800
2019,5,West Wellega,1,Ethiopia,2019-05-01,1556668800
2019,5,Bench Maji,1,Ethiopia,2019-05-01,1556668800
2019,5,Segen Peoples',2,Ethiopia,2019-05-01,1556668800
2019,5,Southern Tigray,2,Ethiopia,2019-05-01,1556668800
2019,5,Awusi,2,Ethiopia,2019-05-01,1556668800
2019,5,Kilbati,2,Ethiopia,2019-05-01,1556668800
2019,5,Gabi,2,Ethiopia,2019-05-01,1556668800
2019,5,Fanti,2,Ethiopia,2019-05-01,1556668800
2019,5,Khari,2,Ethiopia,2019-05-01,1556668800
2019,5,East Gojam,1,Ethiopia,2019-05-01,1556668800
2019,5,North Shewa(R3),1,Ethiopia,2019-05-01,1556668800
2019,5,North Wollo,2,Ethiopia,2019-05-01,1556668800
2019,5,Oromia,1,Ethiopia,2019-05-01,1556668800
2019,5,South Gonder,1,Ethiopia,2019-05-01,1556668800
2019,5,Wag Himra,2,Ethiopia,2019-05-01,1556668800
2019,5,West Gojam,1,Ethiopia,2019-05-01,1556668800
2019,5,Asosa,1,Ethiopia,2019-05-01,1556668800
2019,5,Metekel,1,Ethiopia,2019-05-01,1556668800
2019,5,Dire Dawa,2,Ethiopia,2019-05-01,1556668800
2019,5,Hareri,2,Ethiopia,2019-05-01,1556668800
2019,5,Borena,2,Ethiopia,2019-05-01,1556668800
2019,5,East Harerge,3,Ethiopia,2019-05-01,1556668800
2019,5,Guji,2,Ethiopia,2019-05-01,1556668800
2019,5,Jimma,1,Ethiopia,2019-05-01,1556668800
2019,5,North Shewa(R4),1,Ethiopia,2019-05-01,1556668800
2019,5,South West Shewa,1,Ethiopia,2019-05-01,1556668800
2019,5,West Harerge,2,Ethiopia,2019-05-01,1556668800
2019,5,West Shewa,1,Ethiopia,2019-05-01,1556668800
2019,5,Alaba,2,Ethiopia,2019-05-01,1556668800
2019,5,Basketo,1,Ethiopia,2019-05-01,1556668800
2019,5,Dawro,2,Ethiopia,2019-05-01,1556668800
2019,5,Gamo Gofa,2,Ethiopia,2019-05-01,1556668800
2019,5,Gedio,2,Ethiopia,2019-05-01,1556668800
2019,5,Gurage,1,Ethiopia,2019-05-01,1556668800
2019,5,Hadiya,2,Ethiopia,2019-05-01,1556668800
2019,5,Keffa,1,Ethiopia,2019-05-01,1556668800
2019,5,Konta,1,Ethiopia,2019-05-01,1556668800
2019,5,KT,2,Ethiopia,2019-05-01,1556668800
2019,5,Selti,2,Ethiopia,2019-05-01,1556668800
2019,5,Sheka,1,Ethiopia,2019-05-01,1556668800
2019,5,Sidama,2,Ethiopia,2019-05-01,1556668800
2019,5,South Omo,2,Ethiopia,2019-05-01,1556668800
2019,5,Wolayita,2,Ethiopia,2019-05-01,1556668800
2019,5,Yem,1,Ethiopia,2019-05-01,1556668800
2019,5,Afder,3,Ethiopia,2019-05-01,1556668800
2019,5,Doolo,3,Ethiopia,2019-05-01,1556668800
2019,5,Fafan,2,Ethiopia,2019-05-01,1556668800
2019,5,Jarar,3,Ethiopia,2019-05-01,1556668800
2019,5,Korahe,3,Ethiopia,2019-05-01,1556668800
2019,5,Liben,2,Ethiopia,2019-05-01,1556668800
2019,5,Nogob,3,Ethiopia,2019-05-01,1556668800
2019,5,Shabelle,3,Ethiopia,2019-05-01,1556668800
2019,5,Siti,2,Ethiopia,2019-05-01,1556668800
2019,5,Central Tigray,2,Ethiopia,2019-05-01,1556668800
2019,5,Eastern Tigray,2,Ethiopia,2019-05-01,1556668800
2019,5,North Western Tigray,1,Ethiopia,2019-05-01,1556668800
2019,5,Western Tigray,1,Ethiopia,2019-05-01,1556668800
2019,6,Addis Adaba,1,Ethiopia,2019-06-01,1559347200
2019,6,Awi/Agew,1,Ethiopia,2019-06-01,1559347200
2019,6,North Gonder,1,Ethiopia,2019-06-01,1559347200
2019,6,South Wollo,2,Ethiopia,2019-06-01,1559347200
2019,6,Special Woreda,1,Ethiopia,2019-06-01,1559347200
2019,6,Kemashi,1,Ethiopia,2019-06-01,1559347200
2019,6,Agnuak,1,Ethiopia,2019-06-01,1559347200
2019,6,Majang,1,Ethiopia,2019-06-01,1559347200
2019,6,Nuer,1,Ethiopia,2019-06-01,1559347200
2019,6,Arsi,1,Ethiopia,2019-06-01,1559347200
2019,6,Bale.1,2,Ethiopia,2019-06-01,1559347200
2019,6,East Shewa,1,Ethiopia,2019-06-01,1559347200
2019,6,East Wellega,1,Ethiopia,2019-06-01,1559347200
2019,6,Horo Guduru,1,Ethiopia,2019-06-01,1559347200
2019,6,Ilubabor,1,Ethiopia,2019-06-01,1559347200
2019,6,Kelem Wellega,1,Ethiopia,2019-06-01,1559347200
2019,6,West Arsi,1,Ethiopia,2019-06-01,1559347200
2019,6,West Wellega,1,Ethiopia,2019-06-01,1559347200
2019,6,Bench Maji,1,Ethiopia,2019-06-01,1559347200
