Unnamed: 0,admin_name,Date,fews_ipc,country,timestamp
0,Bor South,06/1/2017,3,South Sudan,1496275200
1,Bor South,07/1/2017,2,South Sudan,1498867200
2,Bor South,08/1/2017,2,South Sudan,1501545600
3,Bor South,09/1/2017,3,South Sudan,1504224000
4,Bor South,10/1/2017,2,South Sudan,1506816000
5,Bor South,11/1/2017,2,South Sudan,1509494400
6,Bor South,12/1/2017,2,South Sudan,1512086400
7,Bor South,01/1/2018,2,South Sudan,1514764800
8,Bor South,02/1/2018,4,South Sudan,1517443200
9,Bor South,03/1/2018,2,South Sudan,1519862400
10,Bor South,04/1/2018,3,South Sudan,1522540800
11,Bor South,05/1/2018,2,South Sudan,1525132800
12,Bor South,06/1/2018,3,South Sudan,1527811200
13,Bor South,07/1/2018,3,South Sudan,1530403200
14,Bor South,08/1/2018,2,South Sudan,1533081600
15,Bor South,09/1/2018,3,South Sudan,1535760000
16,Bor South,10/1/2018,3,South Sudan,1538352000
17,Bor South,11/1/2018,3,South Sudan,1541030400
18,Bor South,12/1/2018,3,South Sudan,1543622400
19,Bor South,01/1/2019,3,South Sudan,1546300800
20,Bor South,02/1/2019,4,South Sudan,1548979200
21,Bor South,03/1/2019,4,South Sudan,1551398400
22,Bor South,04/1/2019,3,South Sudan,1554076800
23,Bor South,05/1/2019,2,South Sudan,1556668800
24,Bor South,06/1/2019,3,South Sudan,1559347200
25,Bor South,07/1/2019,4,South Sudan,1561939200
26,Bor South,08/1/2019,3,South Sudan,1564617600
27,Bor South,09/1/2019,3,South Sudan,1567296000
28,Bor South,10/1/2019,3,South Sudan,1569888000
29,Bor South,11/1/2019,2,South Sudan,1572566400
30,Bor South,12/1/2019,4,South Sudan,1575158400
31,Bor South,01/1/2020,3,South Sudan,1577836800
32,Bor South,02/1/2020,3,South Sudan,1580515200
33,Jur River,06/1/2017,4,South Sudan,1496275200
34,Jur River,07/1/2017,3,South Sudan,1498867200
35,Jur River,08/1/2017,3,South Sudan,1501545600
36,Jur River,09/1/2017,4,South Sudan,1504224000
37,Jur River,10/1/2017,4,South Sudan,1506816000
38,Jur River,11/1/2017,3,South Sudan,1509494400
39,Jur River,12/1/2017,2,South Sudan,1512086400
40,Jur River,01/1/2018,2,South Sudan,1514764800
41,Jur River,02/1/2018,2,South Sudan,1517443200
42,Jur River,03/1/2018,4,South Sudan,1519862400
43,Jur River,04/1/2018,4,South Sudan,1522540800
44,Jur River,05/1/2018,3,South Sudan,1525132800
